timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1596897128806,32425,HTTP Request,200,OK,Thread Group 1-2,text,true,,466018,288,100,100,https://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897128806,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-2,text,true,,384,144,100,100,http://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897128838,32393,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,465634,144,100,100,https://tavriav.ua/catalog/search/?query=jameson,31701,0,104
1596897128835,32466,HTTP Request,200,OK,Thread Group 1-5,text,true,,466018,288,99,99,https://tavriav.ua/catalog/search/?query=jameson,26,0,13
1596897128835,26,HTTP Request-0,302,Moved Temporarily,Thread Group 1-5,text,true,,384,144,99,99,http://tavriav.ua/catalog/search/?query=jameson,26,0,13
1596897128862,32439,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,465634,144,99,99,https://tavriav.ua/catalog/search/?query=jameson,31738,0,65
1596897128894,33260,HTTP Request,200,OK,Thread Group 1-11,text,true,,466018,288,98,98,https://tavriav.ua/catalog/search/?query=jameson,26,0,13
1596897128894,26,HTTP Request-0,302,Moved Temporarily,Thread Group 1-11,text,true,,384,144,98,98,http://tavriav.ua/catalog/search/?query=jameson,26,0,13
1596897128921,33233,HTTP Request-1,200,OK,Thread Group 1-11,text,true,,465634,144,98,98,https://tavriav.ua/catalog/search/?query=jameson,32595,0,65
1596897129016,33257,HTTP Request,200,OK,Thread Group 1-23,text,true,,466018,288,97,97,https://tavriav.ua/catalog/search/?query=jameson,28,0,13
1596897129016,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-23,text,true,,384,144,97,97,http://tavriav.ua/catalog/search/?query=jameson,28,0,13
1596897129044,33229,HTTP Request-1,200,OK,Thread Group 1-23,text,true,,465634,144,97,97,https://tavriav.ua/catalog/search/?query=jameson,32443,0,61
1596897128863,33594,HTTP Request,200,OK,Thread Group 1-8,text,true,,466018,288,96,96,https://tavriav.ua/catalog/search/?query=jameson,32,0,16
1596897128863,32,HTTP Request-0,302,Moved Temporarily,Thread Group 1-8,text,true,,384,144,96,96,http://tavriav.ua/catalog/search/?query=jameson,32,0,16
1596897128895,33562,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,465634,144,96,96,https://tavriav.ua/catalog/search/?query=jameson,32808,0,56
1596897128973,33506,HTTP Request,200,OK,Thread Group 1-19,text,true,,466018,288,95,95,https://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897128973,29,HTTP Request-0,302,Moved Temporarily,Thread Group 1-19,text,true,,384,144,95,95,http://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897129002,33477,HTTP Request-1,200,OK,Thread Group 1-19,text,true,,465634,144,95,95,https://tavriav.ua/catalog/search/?query=jameson,32675,0,60
1596897128794,33877,HTTP Request,200,OK,Thread Group 1-1,text,true,,466018,288,94,94,https://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897128794,30,HTTP Request-0,302,Moved Temporarily,Thread Group 1-1,text,true,,384,144,94,94,http://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897128825,33846,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,465634,144,94,94,https://tavriav.ua/catalog/search/?query=jameson,32955,0,62
1596897128937,33762,HTTP Request,200,OK,Thread Group 1-15,text,true,,466018,288,93,93,https://tavriav.ua/catalog/search/?query=jameson,47,0,15
1596897128937,47,HTTP Request-0,302,Moved Temporarily,Thread Group 1-15,text,true,,384,144,93,93,http://tavriav.ua/catalog/search/?query=jameson,47,0,15
1596897128984,33715,HTTP Request-1,200,OK,Thread Group 1-15,text,true,,465634,144,93,93,https://tavriav.ua/catalog/search/?query=jameson,32819,0,66
1596897128844,33940,HTTP Request,200,OK,Thread Group 1-6,text,true,,466018,288,92,92,https://tavriav.ua/catalog/search/?query=jameson,31,0,17
1596897128844,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-6,text,true,,384,144,92,92,http://tavriav.ua/catalog/search/?query=jameson,31,0,17
1596897128876,33908,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,465634,144,92,92,https://tavriav.ua/catalog/search/?query=jameson,33007,0,70
1596897128824,33976,HTTP Request,200,OK,Thread Group 1-4,text,true,,466018,288,91,91,https://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897128824,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-4,text,true,,384,144,91,91,http://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897128852,33948,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,465634,144,91,91,https://tavriav.ua/catalog/search/?query=jameson,33281,0,55
1596897128814,34496,HTTP Request,200,OK,Thread Group 1-3,text,true,,466025,288,90,90,https://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897128814,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-3,text,true,,384,144,90,90,http://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897128845,34465,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,465641,144,90,90,https://tavriav.ua/catalog/search/?query=jameson,33713,0,62
1596897128884,35286,HTTP Request,200,OK,Thread Group 1-10,text,true,,466025,288,89,89,https://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897128884,30,HTTP Request-0,302,Moved Temporarily,Thread Group 1-10,text,true,,384,144,89,89,http://tavriav.ua/catalog/search/?query=jameson,30,0,15
1596897128914,35256,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,465641,144,89,89,https://tavriav.ua/catalog/search/?query=jameson,33851,0,72
1596897129075,35159,HTTP Request,200,OK,Thread Group 1-29,text,true,,466018,288,88,88,https://tavriav.ua/catalog/search/?query=jameson,35,0,19
1596897129075,35,HTTP Request-0,302,Moved Temporarily,Thread Group 1-29,text,true,,384,144,88,88,http://tavriav.ua/catalog/search/?query=jameson,35,0,19
1596897129110,35124,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,465634,144,88,88,https://tavriav.ua/catalog/search/?query=jameson,33743,0,66
1596897129235,35164,HTTP Request,200,OK,Thread Group 1-45,text,true,,466018,288,87,87,https://tavriav.ua/catalog/search/?query=jameson,27,0,13
1596897129235,27,HTTP Request-0,302,Moved Temporarily,Thread Group 1-45,text,true,,384,144,87,87,http://tavriav.ua/catalog/search/?query=jameson,27,0,13
1596897129263,35136,HTTP Request-1,200,OK,Thread Group 1-45,text,true,,465634,144,87,87,https://tavriav.ua/catalog/search/?query=jameson,33786,0,62
1596897129112,35323,HTTP Request,200,OK,Thread Group 1-33,text,true,,466025,288,86,86,https://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129112,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-33,text,true,,384,144,86,86,http://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129140,35295,HTTP Request-1,200,OK,Thread Group 1-33,text,true,,465641,144,86,86,https://tavriav.ua/catalog/search/?query=jameson,33927,0,66
1596897128965,36081,HTTP Request,200,OK,Thread Group 1-18,text,true,,466018,288,85,85,https://tavriav.ua/catalog/search/?query=jameson,33,0,19
1596897128965,33,HTTP Request-0,302,Moved Temporarily,Thread Group 1-18,text,true,,384,144,85,85,http://tavriav.ua/catalog/search/?query=jameson,33,0,19
1596897128998,36048,HTTP Request-1,200,OK,Thread Group 1-18,text,true,,465634,144,85,85,https://tavriav.ua/catalog/search/?query=jameson,34292,0,107
1596897128955,36218,HTTP Request,200,OK,Thread Group 1-17,text,true,,466018,288,84,84,https://tavriav.ua/catalog/search/?query=jameson,44,0,29
1596897128955,44,HTTP Request-0,302,Moved Temporarily,Thread Group 1-17,text,true,,384,144,84,84,http://tavriav.ua/catalog/search/?query=jameson,44,0,29
1596897128999,36174,HTTP Request-1,200,OK,Thread Group 1-17,text,true,,465634,144,84,84,https://tavriav.ua/catalog/search/?query=jameson,34070,0,67
1596897128946,36750,HTTP Request,200,OK,Thread Group 1-16,text,true,,466018,288,83,83,https://tavriav.ua/catalog/search/?query=jameson,38,0,21
1596897128946,38,HTTP Request-0,302,Moved Temporarily,Thread Group 1-16,text,true,,384,144,83,83,http://tavriav.ua/catalog/search/?query=jameson,38,0,21
1596897128984,36712,HTTP Request-1,200,OK,Thread Group 1-16,text,true,,465634,144,83,83,https://tavriav.ua/catalog/search/?query=jameson,34401,0,63
1596897129173,36549,HTTP Request,200,OK,Thread Group 1-39,text,true,,466018,288,82,82,https://tavriav.ua/catalog/search/?query=jameson,27,0,13
1596897129173,27,HTTP Request-0,302,Moved Temporarily,Thread Group 1-39,text,true,,384,144,82,82,http://tavriav.ua/catalog/search/?query=jameson,27,0,13
1596897129201,36521,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,465634,144,82,82,https://tavriav.ua/catalog/search/?query=jameson,33977,0,59
1596897128926,36857,HTTP Request,200,OK,Thread Group 1-14,text,true,,466018,288,81,81,https://tavriav.ua/catalog/search/?query=jameson,41,0,15
1596897128926,41,HTTP Request-0,302,Moved Temporarily,Thread Group 1-14,text,true,,384,144,81,81,http://tavriav.ua/catalog/search/?query=jameson,41,0,15
1596897128968,36815,HTTP Request-1,200,OK,Thread Group 1-14,text,true,,465634,144,81,81,https://tavriav.ua/catalog/search/?query=jameson,34351,0,72
1596897129034,36874,HTTP Request,200,OK,Thread Group 1-25,text,true,,466025,288,80,80,https://tavriav.ua/catalog/search/?query=jameson,25,0,13
1596897129034,25,HTTP Request-0,302,Moved Temporarily,Thread Group 1-25,text,true,,384,144,80,80,http://tavriav.ua/catalog/search/?query=jameson,25,0,13
1596897129060,36848,HTTP Request-1,200,OK,Thread Group 1-25,text,true,,465641,144,80,80,https://tavriav.ua/catalog/search/?query=jameson,34378,0,61
1596897129094,36859,HTTP Request,200,OK,Thread Group 1-31,text,true,,466018,288,79,79,https://tavriav.ua/catalog/search/?query=jameson,26,0,14
1596897129094,26,HTTP Request-0,302,Moved Temporarily,Thread Group 1-31,text,true,,384,144,79,79,http://tavriav.ua/catalog/search/?query=jameson,26,0,14
1596897129121,36832,HTTP Request-1,200,OK,Thread Group 1-31,text,true,,465634,144,79,79,https://tavriav.ua/catalog/search/?query=jameson,34276,0,67
1596897128873,37155,HTTP Request,200,OK,Thread Group 1-9,text,true,,466018,288,78,78,https://tavriav.ua/catalog/search/?query=jameson,24,0,12
1596897128873,24,HTTP Request-0,302,Moved Temporarily,Thread Group 1-9,text,true,,384,144,78,78,http://tavriav.ua/catalog/search/?query=jameson,24,0,12
1596897128898,37130,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,465634,144,78,78,https://tavriav.ua/catalog/search/?query=jameson,34437,0,86
1596897129024,37016,HTTP Request,200,OK,Thread Group 1-24,text,true,,466018,288,77,77,https://tavriav.ua/catalog/search/?query=jameson,34,0,16
1596897129024,34,HTTP Request-0,302,Moved Temporarily,Thread Group 1-24,text,true,,384,144,77,77,http://tavriav.ua/catalog/search/?query=jameson,34,0,16
1596897129059,36981,HTTP Request-1,200,OK,Thread Group 1-24,text,true,,465634,144,77,77,https://tavriav.ua/catalog/search/?query=jameson,34389,0,71
1596897129103,37099,HTTP Request,200,OK,Thread Group 1-32,text,true,,466018,288,76,76,https://tavriav.ua/catalog/search/?query=jameson,30,0,16
1596897129103,30,HTTP Request-0,302,Moved Temporarily,Thread Group 1-32,text,true,,384,144,76,76,http://tavriav.ua/catalog/search/?query=jameson,30,0,16
1596897129134,37068,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,465634,144,76,76,https://tavriav.ua/catalog/search/?query=jameson,34251,0,66
1596897129122,37812,HTTP Request,200,OK,Thread Group 1-34,text,true,,466018,288,75,75,https://tavriav.ua/catalog/search/?query=jameson,27,0,14
1596897129122,27,HTTP Request-0,302,Moved Temporarily,Thread Group 1-34,text,true,,384,144,75,75,http://tavriav.ua/catalog/search/?query=jameson,27,0,14
1596897129149,37785,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,465634,144,75,75,https://tavriav.ua/catalog/search/?query=jameson,34867,0,55
1596897128906,38497,HTTP Request,200,OK,Thread Group 1-12,text,true,,466018,288,74,74,https://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897128906,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-12,text,true,,384,144,74,74,http://tavriav.ua/catalog/search/?query=jameson,28,0,14
1596897128935,38468,HTTP Request-1,200,OK,Thread Group 1-12,text,true,,465634,144,74,74,https://tavriav.ua/catalog/search/?query=jameson,35085,0,83
1596897129182,38664,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-40,text,false,,3671,144,73,73,https://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129182,28,HTTP Request-0,302,Moved Temporarily,Thread Group 1-40,text,true,,384,144,73,73,http://tavriav.ua/catalog/search/?query=jameson,28,0,15
1596897129210,38636,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-40,text,false,,3287,0,73,73,https://tavriav.ua/catalog/search/?query=jameson,37507,0,62
1596897129499,38494,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-71,text,false,,3767,144,72,72,https://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897129499,31,HTTP Request-0,302,Moved Temporarily,Thread Group 1-71,text,true,,384,144,72,72,http://tavriav.ua/catalog/search/?query=jameson,31,0,16
1596897129530,38463,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-71,text,false,,3383,0,72,72,https://tavriav.ua/catalog/search/?query=jameson,37316,0,78
1596897129638,38385,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-85,text,false,,3671,144,71,71,https://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897129638,29,HTTP Request-0,302,Moved Temporarily,Thread Group 1-85,text,true,,384,144,71,71,http://tavriav.ua/catalog/search/?query=jameson,29,0,14
1596897129668,38355,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-85,text,false,,3287,0,71,71,https://tavriav.ua/catalog/search/?query=jameson,37200,0,65
1596897129548,38524,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-76,text,false,,3671,144,70,70,https://tavriav.ua/catalog/search/?query=jameson,40,0,18
1596897129548,40,HTTP Request-0,302,Moved Temporarily,Thread Group 1-76,text,true,,384,144,70,70,http://tavriav.ua/catalog/search/?query=jameson,40,0,18
1596897129589,38483,HTTP Request-1,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-76,text,false,,3287,0,70,70,https://tavriav.ua/catalog/search/?query=jameson,37405,0,66
1596897129697,38414,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Connection reset,Thread Group 1-91,text,false,,3671,144,69,69,https://tavriav.ua/catalog/search/?query=jameson,33,0,17
